theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
shipping_freight,航運/貨櫃/散裝/油輪,20,40,5033,2006-06-20,2026-03-24,8,6,0.101432,-0.017042,3.507370,6.470316,2.962945,-0.206856,325,1.656654,-2.439583,0.375385,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,40,20,4971,2006-07-17,2026-04-23,8,7,-0.026358,-0.000652,1.774523,1.362560,-0.411963,-0.255073,620,1.629564,1.696958,0.669355,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,10,20,5161,2006-06-05,2026-04-23,6,8,0.036143,0.034824,1.323401,2.026447,0.703045,0.171368,387,1.623499,1.624243,0.589147,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,10,10,5002,2006-06-06,2026-05-08,6,8,0.117921,0.112034,0.999939,2.070449,1.070509,0.539783,466,1.434550,1.443064,0.633047,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,5,10,5013,2006-05-29,2026-05-08,4,9,0.061502,0.057094,0.976307,1.858329,0.882023,0.151475,165,1.431878,1.361797,0.593939,5.000000,5.000000,0.300000
shipping_freight,航運/貨櫃/散裝/油輪,5,20,5068,2006-05-29,2026-04-23,8,6,0.071617,0.055786,1.666605,3.116749,1.450144,-0.079308,113,1.427894,-0.453057,0.469027,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,40,10,4974,2006-07-18,2026-05-08,4,7,0.085250,0.054982,0.903893,1.887569,0.983676,-0.450430,512,1.413380,1.175287,0.591797,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,40,10,5142,2006-07-17,2026-05-08,6,8,0.087324,0.068351,0.675257,1.304423,0.629167,0.681440,836,1.393613,1.233152,0.627990,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,40,40,5106,2006-07-17,2026-03-25,7,7,0.008579,0.005592,2.715773,2.738514,0.022741,0.679907,416,1.393218,1.094181,0.576923,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,5,10,5177,2006-05-29,2026-05-08,6,8,0.059878,0.066853,0.670685,1.239805,0.569120,0.102244,214,1.302598,1.450132,0.621495,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,5,5,5021,2006-05-29,2026-05-15,8,7,0.061388,0.033332,0.441103,0.749218,0.308115,-0.017592,88,1.288057,1.154965,0.681818,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,20,10,4992,2006-06-20,2026-05-08,6,8,0.133035,0.113018,0.997876,2.047032,1.049156,1.117358,690,1.260512,1.059245,0.618841,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,5,10,5077,2006-05-29,2026-05-08,6,9,0.064733,0.085626,1.062814,1.504008,0.441195,-0.189945,18,1.241308,0.339097,0.555556,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,10,10,5168,2006-06-05,2026-05-08,7,7,0.065813,0.014707,0.675985,1.060876,0.384891,0.156698,106,1.200968,1.060336,0.566038,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,40,10,4972,2006-07-18,2026-05-08,6,8,0.138855,0.113354,0.994081,2.300126,1.306045,2.386333,925,1.197005,1.002821,0.618378,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,20,10,5162,2006-06-19,2026-05-08,6,8,0.040451,0.036753,0.676452,1.173678,0.497227,0.354597,620,1.185008,0.587502,0.570968,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,40,20,4991,2006-07-18,2026-04-23,8,6,-0.010477,-0.032365,0.952798,1.533922,0.581124,0.143125,417,1.131840,0.879420,0.618705,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,20,20,4984,2006-06-20,2026-04-23,4,7,0.092573,0.090978,1.770143,3.507016,1.736874,-0.159108,368,1.127035,0.608977,0.527174,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,20,20,4991,2006-06-19,2026-04-23,8,7,0.012354,0.039114,1.763251,2.076401,0.313150,-0.057085,440,1.093662,1.551627,0.629545,5.000000,5.000000,0.300000
power_grid_transformer,重電/變壓器/電網,10,5,5016,2006-06-05,2026-05-15,8,7,0.058572,0.036284,0.446942,0.764135,0.317193,-0.002412,215,1.018657,0.877007,0.623256,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,10,5,5009,2006-06-06,2026-05-15,4,7,0.113530,0.086125,0.460398,1.389742,0.929344,-0.087453,195,1.017585,0.229652,0.533333,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,10,20,5021,2006-06-06,2026-04-23,8,6,-0.019734,-0.030598,0.949740,0.942766,-0.006974,0.056489,111,0.945530,1.427378,0.603604,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,5,5,5182,2006-05-29,2026-05-15,6,8,0.076819,0.081626,0.358764,0.929879,0.571115,0.102698,214,0.940405,0.799156,0.626168,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,20,10,5158,2006-06-19,2026-05-08,7,7,0.069740,0.028686,0.661847,0.994600,0.332753,0.345503,270,0.939398,0.907119,0.581481,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,10,5,5164,2006-06-07,2026-05-15,4,10,0.114991,0.107644,0.568825,1.677495,1.108671,0.097871,331,0.925216,0.544663,0.552870,5.000000,5.000000,0.300000
defense_aerospace,軍工/航太/造船,40,20,5127,2006-07-17,2026-04-23,7,7,0.025040,0.003039,1.350205,1.140862,-0.209343,0.704240,416,0.922192,1.021486,0.591346,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,10,10,5172,2006-06-05,2026-05-08,6,8,0.049410,0.044127,0.681291,1.070085,0.388793,0.164177,387,0.917392,1.163267,0.576227,5.000000,5.000000,0.300000
