playlist_index,video_id,title,duration_string,url,has_transcript,subtitle_language,topic_tags
101,rPzBWD4suiU,你算有錢人嗎？條件變高了！但人數越來越多！他們怎麼變有錢的？【邦妮區塊鏈】,15:21,https://www.youtube.com/watch?v=rPzBWD4suiU,yes,zh,bitcoin|institutional|macro|trading
102,awXMS0qeNWA,Most of Your Altcoins Are Going to Zero｜ Peter Schiff｜Bonnie Blockchain,59:26,https://www.youtube.com/watch?v=awXMS0qeNWA,yes,en,bitcoin|security|macro|trading
103,vv1ULtjdWO0,The Harsh Truth: Retail and Institutions Aren’t Even Playing the Same Game?｜Blue Macellari,21:58,https://www.youtube.com/watch?v=vv1ULtjdWO0,yes,en,bitcoin|institutional|tokenization|security|trading
104,djrefjVsRXg,"Trillion-Dollar Tech Dialogue: NVIDIA’s Jensen Huang, Foxconn’s Young Liu, and MediaTek’s Rick Tsai",43:33,https://www.youtube.com/watch?v=djrefjVsRXg,yes,en,macro
105,VydodDz8aiU,The Future of Capital: Bitcoin & the Age of 100B Robots│Dan Tapiero,55:05,https://www.youtube.com/watch?v=VydodDz8aiU,yes,en,bitcoin|institutional|trading
106,px9kjD7obL0,史上表現最強資產！新手怎麼買比特幣？怎麼做多、做空？中國、海外適用！【邦妮區塊鏈】,17:59,https://www.youtube.com/watch?v=px9kjD7obL0,yes,zh,bitcoin|stablecoin|institutional|tokenization|security|macro|trading
107,zc8HN_VvWfo,"Jensen Huang on Personal Supercomputers, Mega-Chips, Robotics, AI, and NVIDIA’s Taiwan Headquarters",30:45,https://www.youtube.com/watch?v=zc8HN_VvWfo,yes,en,macro|trading
108,TiZMo9ckv5I,千萬別無腦握幣！平均成本法DCA真的好嗎？呢喃貓曝：幣圈入門超重要觀念！【邦妮區塊鏈】@呢喃貓商學院 -加密貨幣理財入門到進階交易,1:02:30,https://www.youtube.com/watch?v=TiZMo9ckv5I,yes,zh,bitcoin|institutional|tokenization|macro|trading
109,pvXupl6uAdU,Gemini Exchange: Extremely Bullish Outlook for Crypto in Late 2025 │ Marshall Beard,12:54,https://www.youtube.com/watch?v=pvXupl6uAdU,yes,en,bitcoin|stablecoin|institutional|tokenization|security|macro|trading
110,bAaWG_6YyGQ,The Quantum Threat to Bitcoin Is Closing In｜ BitGo CEO Mike Belshe｜Bonnie Blockchain,18:40,https://www.youtube.com/watch?v=bAaWG_6YyGQ,yes,en,bitcoin|institutional|security|macro|trading
111,dJ5kNrE1ok0,BITCOIN TO $200K? 3 Triggers You Need to Know│ Matt Hougan｜Bonnie Blockchain,16:12,https://www.youtube.com/watch?v=dJ5kNrE1ok0,yes,en,bitcoin|institutional|macro|trading
